en_core_web_sm,fr_core_news_sm
he s my hero .,c est mon heros .
i m not really that interested .,je n y suis pas vraiment si interesse .
you re late .,vous etes en retard .
you re not going to weasel out of it this time .,tu ne vas pas t en tirer comme ca cette fois .
you re a very sound sleeper .,tu as vraiment le sommeil profond .
you re not dead yet .,tu n es pas encore mort .
i m asking you to do this because i trust you .,je vous demande de le faire parce que j ai confiance en vous .
she is mad at you .,elle est en colere apres vous .
i am doubtful of his success .,je suis sceptique sur son succes .
he s got the flu .,il a la grippe .
i am in the habit of taking a walk every day .,j ai pour habitude d effectuer une promenade chaque jour .
i am not acquainted with him .,je ne lui suis pas lie .
you re forgetful .,tu es distraite .
i m sure things will work out .,je suis sure que les choses vont se resoudre .
i m coming right home .,j arrive juste chez nous .
i m not ignoring you .,je ne suis pas en train de t ignorer .
she is in an awful mood .,elle est d une humeur massacrante .
you re confused again aren t you ?,vous vous embrouillez a nouveau non ?
they re fat .,ils sont gros .
he s sound asleep .,il dort profondement .
he s going to regret this .,il va le regretter .
you re right i think .,je pense que vous avez raison .
you re a disgrace .,tu es une disgrace .
he is pleased with his new shoes .,il est content de ses nouvelles chaussures .
i m not keeping this thing .,je ne vais pas garder cette chose .
you re selfish .,vous etes egoiste .
i m no friend of yours .,je ne compte pas au nombre de vos amis .
i m unconvinced .,je ne suis pas convaincu .
you are a mean person .,vous etes quelqu un de mechant .
i m glad you weren t injured .,je me rejouis que tu n aies pas ete blesse .
you re not very funny .,vous n etes pas tres amusant .
i m not in a rush .,je ne suis pas presse .
i m lucky to have you as a friend .,je suis chanceuse de vous avoir pour amie .
he s just a business associate .,il est juste associe d affaires .
we are about to leave here .,nous sommes sur le point de partir d ici .
he is a thief .,c est un voleur .
he is actually not the manager .,en realite il n est pas le gerant .
you re grumpy .,tu es bougonne .
you re very brave .,vous etes tres courageux .
you re not supposed to eat on the job .,vous n etes pas supposee manger sur le lieu de travail .
i m impulsive .,je suis impulsive .
